grid_index,up_passengers,off_passengers
1,1,10
2,8,28
3,0,7
4,4,12
5,0,3
6,2,3
7,4,16
8,3,13
9,3,4
10,1,0
11,0,0
12,0,0
13,9,493
14,39,1201
15,2,57
16,6,106
17,7,179
18,13,121
19,3,99
20,6,62
21,3,24
22,3,65
23,5,73
24,2,33
25,13,221
26,1,23
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,3,10
34,4,13
35,3,14
36,13,25
37,0,6
38,4,11
39,13,37
40,6,21
41,4,10
42,15,27
43,0,5
44,0,0
45,7,770
46,23,1405
47,1,13
48,20,251
49,52,1492
50,119,597
51,13,265
52,4,58
53,0,9
54,1,40
55,3,50
56,1,22
57,0,20
58,0,10
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,4
66,0,0
67,3,12
68,7,19
69,6,21
70,8,32
71,4,21
72,5,24
73,4,7
74,6,20
75,0,0
76,23,573
77,137,4477
78,159,2483
79,40,629
80,64,734
81,11,259
82,13,453
83,18,317
84,7,307
85,11,88
86,0,27
87,0,35
88,2,31
89,0,1
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,1,3
98,1,7
99,44,49
100,25,54
101,1,11
102,4,23
103,7,31
104,3,14
105,3,22
106,0,2
107,1,24
108,131,3556
109,422,3924
110,239,2229
111,86,1448
112,121,1684
113,58,665
114,48,434
115,26,342
116,52,522
117,16,424
118,0,11
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,4,4
130,1,7
131,3,9
132,0,2
133,1,1
134,2,15
135,24,104
136,27,80
137,2,16
138,1,1
139,663,6928
140,2030,13845
141,140,1259
142,313,2772
143,182,2192
144,92,565
145,68,1220
146,47,458
147,11,471
148,26,176
149,17,379
150,0,4
151,0,0
152,0,3
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,1,1
159,0,7
160,0,0
161,0,5
162,4,7
163,3,6
164,15,32
165,13,42
166,11,20
167,18,69
168,54,183
169,14,23
170,1089,9904
171,4899,29277
172,168,2218
173,327,2649
174,279,2167
175,157,1486
176,26,554
177,111,1443
178,35,865
179,42,1203
180,16,657
181,18,431
182,0,55
183,0,2
184,11,169
